epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
70,14750.7,1.14523,2.2919,0.05585,0.61335,0.44608,0.48469,0.34028,1.01788,1.82387,0.06623,0.0118635,0.00395449,0.0118635,0.00395449,0.0118635,0.00395449,0.0118635,0.00395449
71,14962,1.14177,2.27629,0.05556,0.61428,0.44569,0.48483,0.34049,1.01742,1.82352,0.06616,0.0118006,0.00393355,0.0118006,0.00393355,0.0118006,0.00393355,0.0118006,0.00393355
72,15172.1,1.13843,2.26762,0.05561,0.61492,0.44642,0.48483,0.34059,1.0172,1.8215,0.06616,0.0117378,0.0039126,0.0117378,0.0039126,0.0117378,0.0039126,0.0117378,0.0039126
73,15383.7,1.1427,2.26964,0.05597,0.6189,0.44736,0.48595,0.34136,1.01694,1.82,0.06612,0.0116749,0.00389165,0.0116749,0.00389165,0.0116749,0.00389165,0.0116749,0.00389165
74,15595.4,1.1342,2.2439,0.05659,0.62033,0.44711,0.48701,0.34202,1.01735,1.81667,0.06619,0.0116121,0.0038707,0.0116121,0.0038707,0.0116121,0.0038707,0.0116121,0.0038707
75,15808.3,1.13704,2.24655,0.05563,0.6165,0.44701,0.48681,0.3419,1.01741,1.81525,0.06623,0.0115492,0.00384975,0.0115492,0.00384975,0.0115492,0.00384975,0.0115492,0.00384975
76,16021,1.13908,2.2697,0.05573,0.61736,0.44737,0.48747,0.3424,1.01738,1.81362,0.06629,0.0114864,0.0038288,0.0114864,0.0038288,0.0114864,0.0038288,0.0114864,0.0038288
77,16232.4,1.14383,2.26362,0.05483,0.61922,0.44704,0.48826,0.34286,1.01721,1.81166,0.06621,0.0114235,0.00380785,0.0114235,0.00380785,0.0114235,0.00380785,0.0114235,0.00380785
78,16442,1.13509,2.2679,0.05569,0.62303,0.44753,0.48832,0.34257,1.01724,1.80908,0.06621,0.0113607,0.0037869,0.0113607,0.0037869,0.0113607,0.0037869,0.0113607,0.0037869
79,16651.6,1.13803,2.26362,0.05557,0.62322,0.44905,0.48894,0.34307,1.01695,1.80885,0.06618,0.0112979,0.00376595,0.0112979,0.00376595,0.0112979,0.00376595,0.0112979,0.00376595
80,16861.8,1.1402,2.25254,0.05584,0.62504,0.44937,0.48902,0.34343,1.01697,1.80796,0.06613,0.011235,0.003745,0.011235,0.003745,0.011235,0.003745,0.011235,0.003745
81,17072.5,1.13397,2.24164,0.05533,0.62539,0.45054,0.48944,0.34366,1.01685,1.80831,0.06615,0.0111722,0.00372405,0.0111722,0.00372405,0.0111722,0.00372405,0.0111722,0.00372405
82,17284.4,1.13616,2.25317,0.05518,0.62739,0.45019,0.49011,0.34402,1.01684,1.8064,0.06615,0.0111093,0.0037031,0.0111093,0.0037031,0.0111093,0.0037031,0.0111093,0.0037031
83,17495.7,1.14185,2.26336,0.05532,0.61823,0.45269,0.49058,0.34473,1.01658,1.80522,0.06616,0.0110465,0.00368215,0.0110465,0.00368215,0.0110465,0.00368215,0.0110465,0.00368215
84,17707.3,1.13839,2.25067,0.05545,0.62468,0.45057,0.49112,0.34542,1.01696,1.80204,0.06616,0.0109836,0.0036612,0.0109836,0.0036612,0.0109836,0.0036612,0.0109836,0.0036612
85,17918.7,1.1386,2.2622,0.05561,0.62096,0.4522,0.49171,0.34602,1.01631,1.80168,0.06607,0.0109208,0.00364025,0.0109208,0.00364025,0.0109208,0.00364025,0.0109208,0.00364025
86,18129.7,1.13925,2.25697,0.05498,0.62097,0.45285,0.49148,0.34589,1.0175,1.79939,0.06622,0.0108579,0.0036193,0.0108579,0.0036193,0.0108579,0.0036193,0.0108579,0.0036193
87,18340.4,1.14461,2.24968,0.0546,0.61796,0.45367,0.49105,0.3457,1.01772,1.79994,0.06618,0.0107951,0.00359836,0.0107951,0.00359836,0.0107951,0.00359836,0.0107951,0.00359836
88,18550,1.13195,2.25201,0.05545,0.62214,0.4541,0.49168,0.34613,1.01791,1.79865,0.06628,0.0107322,0.00357741,0.0107322,0.00357741,0.0107322,0.00357741,0.0107322,0.00357741
89,18762.5,1.13274,2.24654,0.05528,0.62213,0.45243,0.49147,0.34605,1.01777,1.79899,0.06628,0.0106694,0.00355646,0.0106694,0.00355646,0.0106694,0.00355646,0.0106694,0.00355646
90,18972.4,1.13466,2.24444,0.05535,0.6222,0.45465,0.49111,0.34588,1.01794,1.79781,0.06635,0.0106065,0.00353551,0.0106065,0.00353551,0.0106065,0.00353551,0.0106065,0.00353551
91,19182.3,1.13155,2.24917,0.05513,0.62547,0.45192,0.49232,0.34679,1.01711,1.79738,0.06623,0.0105437,0.00351456,0.0105437,0.00351456,0.0105437,0.00351456,0.0105437,0.00351456
92,19392.5,1.14163,2.25006,0.05541,0.62539,0.45078,0.49263,0.34702,1.01723,1.79629,0.06627,0.0104808,0.00349361,0.0104808,0.00349361,0.0104808,0.00349361,0.0104808,0.00349361
93,19602.6,1.1354,2.23293,0.05492,0.62281,0.45203,0.49266,0.34716,1.01672,1.79551,0.06615,0.010418,0.00347266,0.010418,0.00347266,0.010418,0.00347266,0.010418,0.00347266
94,19812.7,1.13777,2.2417,0.05518,0.62355,0.45054,0.4929,0.34735,1.01696,1.79454,0.06623,0.0103551,0.00345171,0.0103551,0.00345171,0.0103551,0.00345171,0.0103551,0.00345171
95,20023.6,1.13593,2.24764,0.05524,0.62333,0.45183,0.49289,0.34728,1.01718,1.79389,0.06621,0.0102923,0.00343076,0.0102923,0.00343076,0.0102923,0.00343076,0.0102923,0.00343076
96,20232.5,1.13899,2.2488,0.05508,0.62128,0.4522,0.49306,0.34748,1.01754,1.79125,0.06622,0.0102294,0.00340981,0.0102294,0.00340981,0.0102294,0.00340981,0.0102294,0.00340981
97,20443.7,1.13504,2.24191,0.05514,0.61611,0.45568,0.49418,0.34848,1.01678,1.79213,0.06606,0.0101666,0.00338886,0.0101666,0.00338886,0.0101666,0.00338886,0.0101666,0.00338886
98,20653.2,1.13222,2.22418,0.05485,0.6092,0.45928,0.49427,0.34851,1.01595,1.79283,0.06599,0.0101037,0.00336791,0.0101037,0.00336791,0.0101037,0.00336791,0.0101037,0.00336791
99,20863.4,1.13517,2.22914,0.05468,0.60749,0.45894,0.49441,0.34898,1.01572,1.79066,0.06594,0.0100409,0.00334696,0.0100409,0.00334696,0.0100409,0.00334696,0.0100409,0.00334696
100,21071.9,1.13234,2.23134,0.05518,0.61139,0.45739,0.49505,0.34923,1.01485,1.7913,0.06584,0.00997804,0.00332601,0.00997804,0.00332601,0.00997804,0.00332601,0.00997804,0.00332601
101,21283.5,1.13865,2.23586,0.05522,0.61288,0.45762,0.49553,0.34948,1.0151,1.78931,0.06583,0.00991519,0.00330506,0.00991519,0.00330506,0.00991519,0.00330506,0.00991519,0.00330506
