epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,43716.6,1.52478,2.23745,0.01103,0.53807,0.36369,0.38815,0.26703,1.4099,1.88796,0.01323,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,44786,1.51339,2.22888,0.01089,0.53081,0.36793,0.38938,0.26804,1.40932,1.88218,0.01321,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,45833,1.50124,2.21543,0.01093,0.52938,0.37135,0.39126,0.26949,1.4065,1.87844,0.01315,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,46868.9,1.50738,2.21661,0.01087,0.52891,0.377,0.39331,0.2709,1.40468,1.87353,0.01312,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,47905.4,1.52148,2.2129,0.01083,0.52852,0.378,0.39518,0.27208,1.402,1.86934,0.01308,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,48945.3,1.50781,2.21012,0.01099,0.53581,0.37735,0.39754,0.27381,1.39886,1.86544,0.01303,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,49984.7,1.50821,2.192,0.0108,0.53696,0.37911,0.39879,0.27536,1.39686,1.86002,0.01301,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,51027.7,1.50272,2.19781,0.01078,0.53925,0.38068,0.40156,0.27754,1.39509,1.8545,0.01299,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,52064,1.49372,2.19095,0.01081,0.53687,0.38379,0.40291,0.27888,1.39461,1.84821,0.013,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,53105.5,1.50233,2.19218,0.01081,0.54018,0.38267,0.40422,0.2796,1.39447,1.84198,0.01302,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,54160.4,1.49594,2.1881,0.01087,0.54236,0.3829,0.40586,0.28067,1.39237,1.83855,0.01299,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,55230.7,1.49512,2.16879,0.01064,0.5441,0.38475,0.40663,0.28093,1.3917,1.83288,0.01297,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,56330,1.49167,2.16321,0.01075,0.5437,0.38456,0.40731,0.28155,1.39003,1.83035,0.01294,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,57406.6,1.4865,2.15633,0.01069,0.54511,0.38642,0.40794,0.28197,1.38868,1.82695,0.01291,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,58463.3,1.48698,2.15417,0.01071,0.54305,0.38713,0.40942,0.28314,1.38696,1.82248,0.01289,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,59512.4,1.47759,2.15487,0.01069,0.54744,0.38703,0.41068,0.28427,1.38635,1.81674,0.01289,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,60571.7,1.47921,2.15173,0.01074,0.54998,0.38904,0.4126,0.28516,1.38476,1.81293,0.01284,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,61613,1.4794,2.14325,0.01062,0.55523,0.38824,0.41463,0.28681,1.38254,1.80739,0.01281,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,62654.9,1.48327,2.13465,0.01045,0.55602,0.38958,0.41637,0.28804,1.38142,1.80238,0.01279,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,63700.4,1.47289,2.12084,0.01039,0.55328,0.39324,0.41806,0.28918,1.38148,1.79702,0.01279,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
